sample_id,gse,layout,tissue,condition,sex,dpi
SRR19070041,GSE202166,PAIRED,SPINAL_CORD,SNI,MALE,7
SRR19070042,GSE202166,PAIRED,SPINAL_CORD,SNI,MALE,7
SRR19070043,GSE202166,PAIRED,SPINAL_CORD,SNI,MALE,7
SRR19070035,GSE202166,PAIRED,SPINAL_CORD,CTRL,MALE,3
SRR19070036,GSE202166,PAIRED,SPINAL_CORD,CTRL,MALE,3
SRR19070037,GSE202166,PAIRED,SPINAL_CORD,CTRL,MALE,3
SRR25715198,GSE241361,PAIRED,SPINAL_CORD,SNI,FEMALE,7
SRR25715200,GSE241361,PAIRED,SPINAL_CORD,SNI,FEMALE,7
SRR25715206,GSE241361,PAIRED,SPINAL_CORD,SNI,FEMALE,7
SRR25715208,GSE241361,PAIRED,SPINAL_CORD,SNI,FEMALE,7
SRR25715228,GSE241361,PAIRED,SPINAL_CORD,CTRL,FEMALE,7
SRR25715226,GSE241361,PAIRED,SPINAL_CORD,CTRL,FEMALE,7
SRR25715220,GSE241361,PAIRED,SPINAL_CORD,CTRL,FEMALE,7
SRR25715218,GSE241361,PAIRED,SPINAL_CORD,CTRL,FEMALE,7